FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
4021,12895,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,4.100000000000000,6.100000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,22.000000000000000,16.000000000000000,17.000000000000000,0.720000000000000,18.000000000000000,12.000000000000000,3.000000000000000,244,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659417.000000000000000,5171976.000000000000000
4022,12896,736 - Partschins,01 - Obstbau, ,humoser lehmiger Sand,4.400000000000000,6.100000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,27.000000000000000,12.000000000000000,19.000000000000000,0.840000000000000,20.000000000000000,12.000000000000000,6.000000000000000,205,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659449.000000000000000,5171996.000000000000000
4023,12897,736 - Partschins,01 - Obstbau, ,humoser lehmiger Sand,5.000000000000000,6.000000000000000,0  kein freies Karbonat,0.000000000000000,8.000000000000000,13.000000000000000,24.000000000000000,0.480000000000000,40.000000000000000,68.000000000000000,13.000000000000000,635,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,660003.000000000000000,5172046.000000000000000
4024,12898,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,4.400000000000000,5.700000000000000,0  kein freies Karbonat,5.000000000000000,23.000000000000000,27.000000000000000,14.000000000000000,0.730000000000000,48.000000000000000,26.000000000000000,26.000000000000000,257,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658910.000000000000000,5172016.000000000000000
4025,12899,736 - Partschins,01 - Obstbau,23 - Golden Delicious,schwach lehmiger Sand,2.500000000000000,5.600000000000000,0  kein freies Karbonat,0.000000000000000,7.000000000000000,19.000000000000000,14.000000000000000,0.500000000000000,15.000000000000000,8.000000000000000,2.000000000000000,1340/1,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,657948.000000000000000,5171975.000000000000000
4026,12900,736 - Partschins,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,5.600000000000000,6.200000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,14.000000000000000,20.000000000000000,24.000000000000000,0.440000000000000,28.000000000000000,17.000000000000000,5.000000000000000,253,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658972.000000000000000,5172007.000000000000000
4027,12901,736 - Partschins,01 - Obstbau,39 - Red Delicious Stan,humoser schwach lehmiger Sand,5.100000000000000,5.800000000000000,0  kein freies Karbonat,0.000000000000000,19.000000000000000,19.000000000000000,17.000000000000000,0.640000000000000,39.000000000000000,33.000000000000000,19.000000000000000,256,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,658936.000000000000000,5172040.000000000000000
4028,12902,736 - Partschins,01 - Obstbau,39 - Red Delicious Stan,humoser lehmiger Sand,4.800000000000000,5.000000000000000,0  kein freies Karbonat,40.000000000000000,35.000000000000000,9.000000000000000,22.000000000000000,0.250000000000000,23.000000000000000,18.000000000000000,10.000000000000000,206,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659476.000000000000000,5171975.000000000000000
4029,12903,736 - Partschins,01 - Obstbau,19 - Gala,humoser lehmiger Sand,5.900000000000000,6.000000000000000,0  kein freies Karbonat,0.000000000000000,20.000000000000000,15.000000000000000,25.000000000000000,0.640000000000000,37.000000000000000,15.000000000000000,7.000000000000000,203,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659373.000000000000000,5172033.000000000000000
4030,12904,736 - Partschins,01 - Obstbau, ,lehmiger Sand,3.900000000000000,5.700000000000000,0  kein freies Karbonat,13.000000000000000,30.000000000000000,14.000000000000000,21.000000000000000,0.430000000000000,49.000000000000000,26.000000000000000,18.000000000000000,184,17,Sabbioso franco,17,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659166.000000000000000,5171999.000000000000000
4031,12905,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,5.300000000000000,6.000000000000000,0  kein freies Karbonat,0.000000000000000,23.000000000000000,26.000000000000000,16.000000000000000,0.700000000000000,31.000000000000000,58.000000000000000,34.000000000000000,650,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659590.000000000000000,5172022.000000000000000
4032,12906,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,6.300000000000000,6.200000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,39.000000000000000,37.000000000000000,26.000000000000000,1.110000000000000,47.000000000000000,24.000000000000000,36.000000000000000,255,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659042.000000000000000,5172011.000000000000000
4033,12907,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser schwach lehmiger Sand,6.300000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,31.000000000000000,16.000000000000000,33.000000000000000,0.560000000000000,31.000000000000000,18.000000000000000,20.000000000000000,207,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,659500.000000000000000,5171969.000000000000000
4034,12908,736 - Partschins,01 - Obstbau,39 - Red Delicious Stan,humoser lehmiger Sand,6.000000000000000,6.400000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,38.000000000000000,27.000000000000000,22.000000000000000,1.070000000000000,40.000000000000000,21.000000000000000,35.000000000000000,649,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659559.000000000000000,5172006.000000000000000
4035,12909,736 - Partschins,01 - Obstbau, ,humoser schluffiger Sand,5.800000000000000,5.900000000000000,0  kein freies Karbonat,0.000000000000000,13.000000000000000,16.000000000000000,18.000000000000000,0.520000000000000,22.000000000000000,8.000000000000000,4.000000000000000,1352/2,12,mediamente dotato di humus Sabbioso limoso,12,schluffiger Sand,35.000000000000000,5.000000000000000,60.000000000000000,658255.000000000000000,5171968.000000000000000
