FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
4546,8219,683 - Lana,01 - Obstbau,45 - Verschiedene,schwach lehmiger Sand,3.2,6.9,+  geringer bis mittlerer Karbonatgehalt,0,22,16,24,1,53,21,25,1848/34,24,Sabbioso debolmente franco,24,lehmiger Sand,20,7,73,666832,5162971
4547,8222,683 - Lana,01 - Obstbau,03 - Braeburn,humoser lehmiger Sand,4.6,7,+++  sehr hoher Karbonatgehalt,0,23,22,18,0.52,18,7,9,1947/2,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666550,5162982
4548,8223,683 - Lana,01 - Obstbau,19 - Gala,humoser lehmiger Sand,5.8,6.7,+  geringer bis mittlerer Karbonatgehalt,0,10,14,27,1.36,124,66,27,2346/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665968,5162974
4549,8225,683 - Lana,01 - Obstbau,19 - Gala,humoser lehmiger Sand,4.3,7.2,+++  sehr hoher Karbonatgehalt,0,18,28,28,0.59,39,17,15,1878/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666739,5162967
4550,8227,683 - Lana,01 - Obstbau,19 - Gala,schluffiger Sand,3.7,6.4,+  geringer bis mittlerer Karbonatgehalt,0,65,39,20,0.7,75,52,66,1853/32,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667247,5162968
4551,8228,683 - Lana,01 - Obstbau,19 - Gala,schluffiger Sand,3.7,6.4,+  geringer bis mittlerer Karbonatgehalt,0,65,39,20,0.7,75,52,66,1853/33,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667250,5162958
4552,8229,683 - Lana,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,6.9,7,+  geringer bis mittlerer Karbonatgehalt,0,17,33,33,2.02,105,106,33,2330/3,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665832,5162944
4553,8230,683 - Lana,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,6.9,7,+  geringer bis mittlerer Karbonatgehalt,0,17,33,33,2.02,105,106,33,2330/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665809,5162960
4554,8231,683 - Lana,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,4.3,6.7,+  geringer bis mittlerer Karbonatgehalt,0,33,16,26,1.18,76,45,28,2322/2,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665779,5162947
4555,8232,683 - Lana,01 - Obstbau,45 - Verschiedene,schluffiger Sand,1.8,6.4,+  geringer bis mittlerer Karbonatgehalt,0,23,18,14,0.73,44,29,24,1853/34,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667254,5162949
4556,8233,683 - Lana,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.9,6.7,++  hoher Karbonatgehalt,0,48,24,22,0.92,30,44,60,1999,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666241,5162937
4557,8234,683 - Lana,01 - Obstbau,03 - Braeburn,schluffiger Sand,2.5,6.4,+  geringer bis mittlerer Karbonatgehalt,0,30,17,15,0.42,42,58,46,1853/35,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667262,5162941
4558,8235,683 - Lana,01 - Obstbau,03 - Braeburn,humoser schwach lehmiger Sand,5.7,6.9,++  hoher Karbonatgehalt,0,85,43,33,1.42,23,17,25,2346/2,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,665999,5162935
4559,8236,683 - Lana,01 - Obstbau,45 - Verschiedene,schwach lehmiger Sand,3.9,7,+++  sehr hoher Karbonatgehalt,0,24,7,15,0.5,13,11,11,1947/3,24,Sabbioso debolmente franco,24,lehmiger Sand,20,7,73,666550,5162925
4560,8237,683 - Lana,01 - Obstbau,03 - Braeburn,schluffiger Sand,2.5,6.4,+  geringer bis mittlerer Karbonatgehalt,0,30,17,15,0.42,42,58,46,1853/36,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667261,5162931
4561,8238,683 - Lana,01 - Obstbau,03 - Braeburn,humoser lehmiger Sand,4.3,6.8,+  geringer bis mittlerer Karbonatgehalt,0,23,12,28,0.91,41,42,40,1989,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666319,5162906
4562,8239,683 - Lana,01 - Obstbau,45 - Verschiedene,lehmiger Sand,3.3,6.2,0  kein freies Karbonat,0,12,13,18,0.76,39,28,7,1853/37,17,Sabbioso franco,17,lehmiger Sand,30,20,50,667267,5162922
4563,8240,683 - Lana,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,5.8,6.6,++  hoher Karbonatgehalt,0,23,16,34,2.04,78,109,40,2322/3,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665787,5162936
4564,8241,683 - Lana,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.9,6.7,++  hoher Karbonatgehalt,0,48,24,22,0.92,30,44,60,1992,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666301,5162900
